Participant,Start,End,Sentence
5.Yellow.30,03:37.8,03:39.6,"""Um, maybe you could use that to make fire."""
5.Yellow.31,03:39.6,03:41.8,"""Like could you rub it together to make fire?"""
5.Blue.48,03:40.9,03:44.0,"""Yeah, or even like to help build a structure."""
5.Blue.49,03:44.0,03:46.2,"""Kinda like, I don't know."""
5.Yellow.32,03:44.1,03:45.4,"""Yeah."""
5.Blue.50,03:46.9,03:49.4,"""I think the knife is probably important."""
5.Orange.20,03:47.0,03:47.9,"""Really."""
5.Yellow.33,03:49.6,03:53.0,"""Two ski polls could also be used for some kind of structure but --"""
5.Orange.21,03:52.4,03:54.3,"""Uh, yeah like to hold up something."""
5.Blue.51,03:52.7,03:53.5,"""Yeah."""
5.Yellow.34,03:54.0,03:54.7,"""Yeah."""
5.Yellow.35,03:55.0,03:58.8,"""But maybe we can assume there's lots of sticks and stuff."""
5.Orange.22,03:56.4,03:58.0,"""For the most part though."""
5.Orange.23,03:58.9,04:00.5,"""What about the thirty feet of rope?"""
5.Blue.52,04:00.8,04:02.4,"""Yeah that would probably be helpful."""
5.Orange.24,04:02.3,04:04.0,"""That would extremely be helpful $."""
5.Blue.53,04:04.9,04:07.6,"""Should we do the extra shirt and pants for each survivor?"""
5.Yellow.36,04:08.2,04:14.1,"""Yeah, let's -- maybe let's -- sure, let's short them out quickly and then we'll --"""
5.Orange.25,04:09.1,04:10.0,"""Third?"""
5.Blue.54,04:09.5,04:12.1,"""Just to like get them in."""
5.Pink.27,04:10.7,04:11.4,"""Yeah."""
5.Blue.55,04:12.8,04:13.4,"""Then --"""
5.Pink.28,04:13.7,04:16.9,"""And then maybe the flashlight or the knife."""
5.Blue.56,04:16.9,04:20.6,"""Yeah the flashlight and the knife and th-even the pistol would probably be helpful."""
5.Pink.29,04:20.3,04:21.0,"""Yeah."""
5.Yellow.37,04:20.7,04:23.5,"""Mm, I'd put knife and pistol before the flashlight."""
5.Yellow.38,04:23.5,04:26.3,"""I don't -- you don't know how long the flashlight will last."""
5.Orange.26,04:24.7,04:27.4,"""You don't need the p -- you don't need the flashlight quite yet."""
5.Blue.57,04:27.1,04:28.4,"""I'll do the knife first?"""
5.Orange.27,04:27.5,04:29.1,"""We're still at lunchtime."""
5.Yellow.39,04:29.1,04:30.3,"""Yeah knife."""
5.Blue.58,04:30.6,04:32.6,"""Four and then five."""
5.Blue.59,04:33.0,04:34.3,"""Six for the flashlight?"""
5.Orange.28,04:34.0,04:34.7,"""Yep."""
5.Blue.60,04:34.8,04:35.4,"""Okay."""
5.Yellow.40,04:35.6,04:38.4,"""Uh, compress kit, pretty important, too."""
5.Orange.29,04:38.5,04:39.6,"""Yeah, we had that as two."""
5.Yellow.41,04:38.8,04:40.8,"""Oh we did, it's two, okay."""
5.Blue.61,04:39.0,04:40.2,"""Yeah we got that as second."""
5.Orange.30,04:40.5,04:40.9,"""Yeah."""
5.Blue.62,04:41.5,04:42.4,"""Um."""
5.Orange.31,04:43.8,04:45.6,"""What's with the sectional air map?"""
5.Blue.63,04:43.9,04:44.7,"""Even."""
5.Blue.64,04:46.4,04:48.3,"""I guess that's what they use to fly?"""
5.Blue.65,04:48.7,04:49.7,"""See where they are?"""
5.Blue.66,04:50.2,04:51.3,"""But yeah."""
5.Orange.32,04:50.3,04:53.7,"""Would we technically be able to use that then from ground?"""
5.Blue.67,04:53.8,04:56.4,"""Like if someone knew about it."""
5.Pink.30,04:56.0,04:57.9,"""You probably could figure it out."""
5.Yellow.42,04:56.1,04:57.2,"""Yeah."""
5.Orange.33,04:56.2,04:57.1,"""$"""
5.Blue.68,04:58.0,04:58.9,"""That would be good."""
5.Yellow.43,04:58.2,05:00.5,"""I would be putting that again low with the compass."""
5.Yellow.44,05:00.5,05:04.4,"""I think staying where you are is -- that's what my mom taught me when you get lost in the mall $."""
5.Blue.69,05:02.3,05:03.1,"""Hm."""
5.Blue.70,05:04.2,05:05.6,"""$"""
5.Yellow.45,05:04.4,05:05.3,"""$ No I'm just joking."""
5.Pink.31,05:05.5,05:10.7,"""Yeah, but it's like -- it's really thick woods and stuff so f-for someone to try and find you, it might be like more difficult."""
5.Pink.32,05:10.7,05:13.3,"""And if they didn't like send a signal or anything."""
5.Yellow.46,05:10.8,05:11.7,"""Yeah."""
5.Orange.34,05:13.1,05:13.8,"""Mhm."""
5.Blue.71,05:13.1,05:13.8,"""Mhm."""
5.Pink.33,05:13.6,05:18.2,"""Then if you had a map and a compass you could try and figure your own way out if you -- like if that was your last resort."""
5.Orange.35,05:17.1,05:21.6,"""Or at least figure out how to get to a more viewable area."""
5.Pink.34,05:21.6,05:22.4,"""Yeah."""
5.Yellow.47,05:21.8,05:22.5,"""Mhm."""
5.Orange.36,05:22.4,05:23.9,"""Like even on top of a mountain is --"""
5.Pink.35,05:24.0,05:24.4,"""Yeah."""
5.Orange.37,05:24.4,05:25.6,"""Gets colder, but."""
5.Pink.36,05:24.7,05:26.6,"""I had the map as seven."""
5.Pink.37,05:27.3,05:28.0,"""So."""
5.Orange.38,05:27.4,05:29.0,"""Uh, what did I have the map as?"""
5.Orange.39,05:29.2,05:30.3,"""I had it as nine."""
5.Blue.72,05:33.6,05:34.8,"""Yeah I think that would be impor --"""
5.Blue.73,05:34.8,05:37.2,"""Even the chocolate bar would probably be because it's family sized."""
5.Blue.74,05:37.2,05:38.3,"""It's pretty big and then it's --"""
5.Orange.40,05:37.3,05:39.7,"""I had the can of shortening as ten."""
5.Orange.41,05:39.7,05:42.0,"""Like it -- not -- doesn't taste good."""
5.Orange.42,05:42.0,05:43.9,"""But it's still something to eat."""
5.Blue.75,05:43.5,05:44.4,"""Yeah."""
5.Yellow.48,05:43.8,05:46.4,"""Yeah food is important, whatever it is."""
5.Blue.76,05:45.5,05:47.2,"""Maybe do the food things next?"""
5.Yellow.49,05:47.1,05:47.9,"""Yeah."""
5.Orange.43,05:47.4,05:48.1,"""Yeah."""
5.Blue.77,05:48.1,05:51.4,"""Okay, um, six, seven."""
5.Orange.44,05:50.8,05:51.9,"""What do you do with the whiskey?"""
5.Orange.45,05:51.9,05:53.2,"""That just keeps you warm?"""
5.Blue.78,05:53.3,05:55.1,"""Yeah I was thinking that $."""
5.Orange.46,05:54.4,05:55.5,"""Yeah $."""
5.Pink.38,05:55.2,05:58.2,"""You could use it for like fire too, since it's alcohol."""
5.Blue.79,05:56.4,05:58.0,"""Do that one as nine?"""
5.Yellow.50,05:58.0,06:01.7,"""Oh yeah you could -- could you fill the cigarette lighter with whiskey?"""
5.Orange.47,05:59.3,06:00.2,"""As --"""
5.Yellow.51,06:02.1,06:05.0,"""$ I wish we had people who knew this kinda stuff."""
5.Blue.80,06:04.1,06:05.0,"""Does that work?"""
5.Pink.39,06:04.8,06:06.3,"""I don't know if that works."""
5.Pink.40,06:06.4,06:10.7,"""But you can like -- if you pour it like on a log it will catch on fire like or something."""
5.Orange.48,06:09.3,06:10.6,"""As long as you can light it."""
5.Blue.81,06:09.9,06:10.6,"""Mhm."""
5.Pink.41,06:10.7,06:11.3,"""Yeah."""
5.Yellow.52,06:12.7,06:16.0,"""And, um, you could use it for injuries too."""
5.Pink.42,06:16.1,06:16.9,"""Yeah."""
5.Orange.49,06:16.6,06:17.6,"""Mm."""
5.Yellow.53,06:16.7,06:19.0,"""Treat it and yeah disinfect."""
5.Pink.43,06:16.9,06:18.0,"""And stuff."""
5.Blue.82,06:18.4,06:19.6,"""Okay, I'll put that one nine."""
5.Pink.44,06:19.6,06:20.3,"""Yeah."""
5.Orange.50,06:21.8,06:23.0,"""What about rope?"""
5.Orange.51,06:23.2,06:25.3,"""We said that was useful, but."""
5.Blue.83,06:23.5,06:25.1,"""Yeah, that one's pretty good."""
5.Yellow.54,06:25.3,06:27.2,"""What would we use rope for?"""
5.Blue.84,06:27.3,06:28.5,"""Building."""
5.Yellow.55,06:28.7,06:29.8,"""$"""
5.Blue.85,06:29.7,06:30.4,"""And climbing up."""
5.Orange.52,06:29.9,06:31.3,"""Yeah, either building a shelter."""
5.Orange.53,06:31.3,06:34.5,"""Or trying to like climb down or up a mountain or something."""
5.Pink.45,06:34.5,06:35.4,"""Yeah."""
5.Orange.54,06:34.6,06:35.5,"""I don't know."""
5.Blue.86,06:35.0,06:38.0,"""Oh yeah, you could climb up a tree, see where you are."""
5.Orange.55,06:36.7,06:37.6,"""Yeah."""
5.Orange.56,06:37.8,06:38.5,"""There we go."""
5.Orange.57,06:38.5,06:39.6,"""That's like the best way to do it."""
5.Blue.87,06:39.3,06:40.6,"""I'll put that one as ten."""
5.Orange.58,06:40.1,06:41.6,"""$"""
5.Blue.88,06:42.0,06:45.3,"""And then the rest of them aren't super important."""
5.Blue.89,06:45.3,06:49.8,"""Maybe the air map just in case like someone could know how to use it."""
5.Orange.59,06:45.7,06:46.7,"""What were they?"""
5.Pink.46,06:47.9,06:48.4,"""Yeah."""
5.Orange.60,06:48.4,06:50.1,"""At least we can try to figure it out."""
5.Blue.90,06:49.8,06:50.4,"""Yeah."""
5.Orange.61,06:50.2,06:51.2,"""$"""
5.Blue.91,06:51.6,06:52.8,"""Um..."""
5.Orange.62,06:53.5,06:55.6,"""All we have left is the ski polls."""
5.Blue.92,06:54.4,06:58.0,"""Ball of steel wool maybe next as twelve?"""
5.Blue.93,06:58.1,07:01.9,"""Cause it could be used to build or light a fire maybe."""
5.Yellow.56,07:01.3,07:06.3,"""Yeah, you could wrap stuff around, like putting twigs together with the ball of steel wool."""
5.Blue.94,07:03.8,07:04.8,"""Yeah."""
5.Blue.95,07:06.6,07:10.5,"""And then ski polls to build a structure maybe."""
5.Orange.63,07:13.7,07:16.3,"""And then with the cigarette lighter then the newspaper or?"""
5.Blue.96,07:13.8,07:15.2,"""What's more important?"""
5.Pink.47,07:16.7,07:20.7,"""I feel like the cigarette lighter without fluid is just like completely useless."""
5.Blue.97,07:20.3,07:20.9,"""Yep."""
5.Pink.48,07:21.6,07:23.6,"""So maybe that would be the last."""
5.Blue.98,07:23.2,07:23.7,"""Yep."""
5.Orange.64,07:23.7,07:24.3,"""Yeah."""
5.Blue.99,07:24.4,07:26.7,"""This one could be used to start a fire."""
5.Blue.100,07:28.0,07:28.7,"""Alright."""
5.Yellow.57,07:29.2,07:31.0,"""Uh, what's the last one then?"""
5.Yellow.58,07:31.0,07:31.8,"""Cigarette lighter?"""
5.Blue.101,07:31.5,07:32.2,"""Yep."""
5.Orange.65,07:31.8,07:32.7,"""Yeah."""
5.Yellow.59,07:32.4,07:33.3,"""Okay."""
5.Blue.102,07:36.5,07:37.1,"""Good?"""
5.Yellow.60,07:37.3,07:39.8,"""Um, should we go over them one more time?"""
5.Orange.66,07:39.8,07:41.2,"""Yeah let's do that."""
5.Blue.103,07:41.4,08:10.9,"""Okay, so we have first the compass and then the compress kit, and then an extra shirt and pants, um, the knife, the pistol, flashlight, the chocolate bar, can of shortening, whiskey, thirty feet of rope, the air map, uh, ball of steel wool, ski polls, newspaper, and then the cigarette lighter."""
5.Yellow.61,08:11.7,08:14.9,"""I guess I'd move, um, food before the flashlight."""
5.Orange.67,08:15.3,08:16.2,"""Hm."""
5.Blue.104,08:15.8,08:17.0,"""Food before flashlight?"""
5.Yellow.62,08:17.0,08:18.2,"""Yeah, I think so."""
5.Blue.105,08:18.3,08:18.9,"""Okay."""
5.Blue.106,08:20.7,08:22.4,"""All of these count as food?"""
5.Blue.107,08:23.1,08:24.7,"""Or no, just these."""
5.Yellow.63,08:23.3,08:25.4,"""Shortening and the chocolate bar are food."""
5.Orange.68,08:23.4,08:24.1,"""Yeah."""
5.Blue.108,08:24.7,08:25.3,"""Yep."""
5.Blue.109,08:27.9,08:34.0,"""So make this one six, seven, and then eight."""
5.Orange.69,08:34.2,08:35.8,"""Yeah I think that makes more sense."""
5.Blue.110,08:34.8,08:35.3,"""Okay."""
5.Blue.111,08:35.3,08:37.6,"""Yeah cause I guess you don't need the flashlight yet."""
5.Yellow.64,08:38.3,08:41.2,"""Um, this is kind of pretty random idea, I guess."""
5.Yellow.65,08:41.2,08:42.4,"""The air map."""
5.Yellow.66,08:42.4,08:44.4,"""I imagine maybe those are pretty big."""
5.Yellow.67,08:44.4,08:45.6,"""If I've seen them in movies."""
5.Yellow.68,08:45.6,08:49.8,"""So, if it's made of plastic, I guess it could provide some warmth too if you sleep underneath it."""
5.Blue.112,08:49.9,08:51.2,"""Yeah or like if --"""
5.Yellow.69,08:50.1,08:52.8,"""You don't really have that much other than your clothes."""
5.Orange.70,08:51.2,08:55.1,"""Either that or if it's raining it can like protect you from the wind or something or."""
5.Blue.113,08:51.5,08:52.5,"""[unclear]"""
5.Yellow.70,08:54.0,08:58.6,"""Yeah, yeah, it could be a good cause you -- it -- """
5.Orange.71,08:57.7,08:59.3,"""It does say of plastic."""
5.Blue.114,08:59.4,09:00.2,"""Mhm."""
5.Orange.72,09:02.5,09:03.8,"""What did we have that as?"""
5.Blue.115,09:02.7,09:03.6,"""Just --"""
5.Blue.116,09:03.7,09:05.2,"""It's eleven right now."""
5.Blue.117,09:05.8,09:07.9,"""Could it be better than like?"""
5.Orange.73,09:08.1,09:12.2,"""I don't know if it's really better than like the chocolate or flashlight or."""
5.Pink.49,09:12.3,09:13.2,"""Yeah."""
5.Blue.118,09:13.5,09:14.9,"""Yeah probably not."""
5.Orange.74,09:14.4,09:16.6,"""I think that's probably as good as it gets, really."""
5.Yellow.71,09:18.1,09:19.6,"""What's the flashlight?"""
5.Yellow.72,09:19.6,09:21.7,"""Like to see in the dark?"""
5.Blue.119,09:20.3,09:21.4,"""The flashlight."""
5.Yellow.73,09:21.7,09:24.0,"""Why do you want to see in the dark exactly?"""
5.Yellow.74,09:24.9,09:26.2,"""For something scary."""
5.Yellow.75,09:26.2,09:27.2,"""$ Hear a noise."""
5.Blue.120,09:27.6,09:28.7,"""I don't know."""
5.Yellow.76,09:29.2,09:33.7,"""You could, I mean, you could way better round at nighttime if you hear a plane."""
5.Yellow.77,09:33.7,09:35.6,"""$ I don't know if that's really gonna be --"""
5.Blue.121,09:34.5,09:35.5,"""Yeah."""
5.Pink.50,09:36.4,09:37.3,"""Well I --"""
5.Orange.75,09:36.4,09:40.6,"""It just even just makes you feel more safe and like okay we have it if we need it."""
5.Pink.51,09:38.4,09:39.2,"""Yeah."""
5.Pink.52,09:40.2,09:45.3,"""Yeah, I'd personally like keep walking like as far as I could to like get somewhere before, like."""
5.Yellow.78,09:40.5,09:41.4,"""Yeah."""
5.Pink.53,09:45.3,09:47.7,""" I don't know, that's just like my mentality."""
5.Orange.76,09:45.6,09:46.8,"""Yeah we would -- """
5.Pink.54,09:47.7,09:53.6,"""Just cause like I wouldn't want to be in the woods forever, especially in January when it's cold."""
5.Blue.122,09:50.7,09:51.3,"""%"""
5.Yellow.79,09:53.7,09:59.3,"""Yeah, I do think if-if a plane went down, if anybody saw that you'd probably want to stay in the area."""
5.Yellow.80,09:59.3,10:04.0,"""Um, you'd probably get even more lost if you're trying to navigate your way out of there."""
5.Orange.77,10:00.9,10:05.2,"""At least for the first -- at least for the first couple of days you could stay."""
5.Orange.78,10:05.2,10:09.3,"""Like cause it says you, where was it, there is like just the frame of it."""
5.Orange.79,10:09.3,10:16.2,"""So you can try and like even grab branches, cut them with the knife, and like create your own little shelter inside of there."""
5.Yellow.81,10:09.3,10:09.8,"""Yeah."""
5.Yellow.82,10:14.0,10:14.6,"""Yeah."""
5.Orange.80,10:17.7,10:18.9,"""And stay there for a couple days."""
5.Orange.81,10:18.9,10:21.8,"""And then if that doesn't happen, then."""
5.Orange.82,10:23.9,10:25.7,"""Go toward the ci -- town."""
5.Yellow.83,10:26.3,10:38.1,"""So to me, just to have a discussion, not that it's that important, that, um, but just like yeah the navigation equipment would be lower for me, compass and air map."""
5.Orange.83,10:27.2,10:28.0,"""%"""
5.Yellow.84,10:38.1,10:43.5,"""Air map I'd say is more useful for keeping you warm than for navigation."""
5.Yellow.85,10:46.0,10:50.0,"""I think you'd end up more lost if you try to navigate with just a compass."""
5.Blue.123,10:51.1,10:52.8,"""What did you say for first then?"""
5.Yellow.86,10:53.0,10:55.5,"""Well I-I kind of did it rushed."""
5.Yellow.87,10:55.5,10:58.0,"""I put the pistol first."""
5.Blue.124,11:02.0,11:03.7,"""Yeah I don't know."""
5.Blue.125,11:04.4,11:07.1,"""What else could go first?"""
5.Blue.126,11:07.1,11:08.8,"""We could switch it out if you want."""
5.Yellow.88,11:11.1,11:19.3,"""Like with the -- maybe the plan would have some kind of navigation reading too cause it's flying so people would know where it disappeared."""
5.Pink.55,11:19.2,11:24.2,"""It said the crash came suddenly before the pilot had time to radio for help or inform anyone of your position."""
5.Yellow.89,11:24.6,11:26.8,"""I thought they might have like natural things."""
5.Yellow.90,11:26.8,11:33.1,"""So, I think that's -- a lot of planes just have like natural kind of monitoring."""
5.Pink.56,11:33.5,11:34.5,"""I have no idea."""
5.Pink.57,11:34.5,11:36.0,"""I know nothing about planes $."""
5.Yellow.91,11:35.2,11:35.8,"""Yeah."""
5.Blue.127,11:35.4,11:35.8,"""$"""
5.Orange.84,11:39.2,11:39.8,"""I don't know."""
5.Orange.85,11:39.8,11:46.2,"""Because there was a plane recently that actually did go down in between Alberta and the Okanagan."""
5.Yellow.92,11:42.2,11:42.8,"""Mhm."""
5.Yellow.93,11:45.7,11:46.4,"""Yeah."""
5.Orange.86,11:46.2,11:48.0,"""And they never found it."""
5.Yellow.94,11:47.6,11:48.4,"""They didn't find it."""
5.Orange.87,11:48.4,11:51.1,"""It was just a two people -- two person small plane and yeah."""
5.Yellow.95,11:48.4,11:48.9,"""Okay."""
5.Yellow.96,11:50.7,11:54.5,"""Yeah, this is probably also like that plane."""
5.Orange.88,11:57.6,12:03.7,"""Cause like if we were in like a commercial airline, then yeah, that's relatively no problem but."""
5.Pink.58,12:04.4,12:08.7,"""Yeah, it's easier to like see a bigger plane that crashes instead of a small one."""
5.Orange.89,12:08.4,12:09.2,"""Mhm."""
5.Blue.128,12:09.7,12:14.7,"""I think it's like a common thought that you want people to be looking for down plane."""
5.Pink.59,12:14.2,12:15.0,"""Yeah."""
5.Blue.129,12:14.7,12:17.4,"""But people wouldn't realize."""
5.Blue.130,12:17.4,12:23.0,"""I mean maybe if there was a lot of people on it then the family members would know or something but."""
5.Blue.131,12:23.9,12:26.5,"""If it's way off course then it's way harder to find as well."""
5.Pink.60,12:26.7,12:27.4,"""Yeah."""
5.Orange.90,12:30.4,12:33.0,"""I don't know, I think I'm happy with that."""
5.Pink.61,12:32.5,12:34.3,"""Yeah I think I'm good with that."""
5.Yellow.97,12:35.4,12:36.3,"""Okay."""
