Participant,Start,End,Sentence
5.Orange.1,00:02.0,00:06.3,"""Alright, so who wants to do the writing on?"""
5.Blue.1,00:07.8,00:09.5,"""I can do that on this thing."""
5.Blue.2,00:09.8,00:12.9,"""Um, what did everyone has-have as first?"""
5.Pink.1,00:13.0,00:14.5,"""I put a compass."""
5.Blue.3,00:14.6,00:16.0,"""Yeah I was thinking about that one after."""
5.Blue.4,00:16.0,00:17.7,"""Now I'm like I shoulda put that one first $."""
5.Pink.2,00:17.6,00:18.1,"""Yeah."""
5.Blue.5,00:18.6,00:20.3,"""Um %."""
5.Yellow.1,00:18.6,00:20.5,"""I don't feel that strong in any of my choices."""
5.Yellow.2,00:20.5,00:24.7,"""I put the pistol first cause the sound can attract people."""
5.Blue.6,00:25.0,00:25.7,"""Hm."""
5.Yellow.3,00:25.3,00:27.6,"""Um, compass I thought would be useful."""
5.Pink.3,00:25.7,00:26.5,"""Smart."""
5.Yellow.4,00:27.6,00:33.6,"""But, um, a conc -- I-I think maybe we shouldn't be moving if we don't know where we are, really."""
5.Yellow.5,00:33.6,00:36.9,"""Then the air map and the compass maybe wouldn't be as useful."""
5.Blue.7,00:36.9,00:39.7,"""Yeah, I just thought cause it said you were eighty miles northwest."""
5.Blue.8,00:39.7,00:46.1,"""So they know that, so if someone knows how to use a compass like well, then they can maybe start walking that way."""
5.Pink.4,00:39.8,00:40.8,"""Yeah."""
5.Pink.5,00:43.7,00:45.2,"""Yeah and --"""
5.Yellow.6,00:43.8,00:44.5,"""Yeah."""
5.Pink.6,00:45.8,00:46.6,"""Yeah."""
5.Orange.2,00:46.6,00:48.1,"""I had knife first."""
5.Orange.3,00:48.2,00:50.6,"""I'm like no matter what, you at least know what to do with a knife."""
5.Yellow.7,00:50.6,00:51.2,"""Mhm."""
5.Pink.7,00:51.1,00:51.8,"""Yeah."""
5.Blue.9,00:52.0,00:52.8,"""That's true."""
5.Pink.8,00:52.5,00:53.4,"""That's true."""
5.Pink.9,00:53.8,00:58.8,"""But if you don't know where you're going or like where you are then, that's why I put it first."""
5.Yellow.8,00:59.3,01:01.1,"""Yeah, we are off course it said."""
5.Yellow.9,01:01.1,01:04.4,"""Since the pilot was trying to avoid a storm, you are considerably off course."""
5.Orange.4,01:03.1,01:03.6,"""Mhm."""
5.Yellow.10,01:04.4,01:12.9,"""So eighty miles before the cra -- announced shortly before the crash I guess you know that you are eighty miles northwest then."""
5.Pink.10,01:13.2,01:13.9,"""Yeah."""
5.Blue.10,01:14.7,01:17.8,"""I put the extra shirt and pants just so everyone can be warm."""
5.Pink.11,01:18.0,01:19.4,"""I put that as second."""
5.Blue.11,01:19.4,01:20.0,"""Yeah. """
5.Pink.12,01:20.0,01:20.5,"""Yeah."""
5.Yellow.11,01:20.6,01:23.2,"""Okay, so I think we're agreed that's important."""
5.Pink.13,01:23.2,01:24.5,"""Yeah $."""
5.Orange.5,01:23.4,01:23.8,"""Yeah."""
5.Blue.12,01:25.0,01:26.9,"""So what should we put first, the compass?"""
5.Yellow.12,01:26.8,01:29.3,"""Uh, do you want a pencil just in case we change anything?"""
5.Blue.13,01:28.1,01:28.8,"""Sure."""
5.Blue.14,01:29.3,01:29.7,"""Yep."""
5.Yellow.13,01:29.8,01:33.4,"""Sorry to keep pushing my pencils onto you $ repeatedly."""
5.Blue.15,01:33.5,01:36.2,"""Um, compass first?"""
5.Blue.16,01:36.2,01:38.4,"""Or like would that be the first thing you think to do?"""
5.Blue.17,01:38.4,01:39.7,"""To get out of there?"""
5.Blue.18,01:40.1,01:42.1,"""Or would you first wanna like settle?"""
5.Pink.14,01:41.5,01:46.0,"""I'd -- that's personally what, like if I had to choose anything, I would choose that first personally."""
5.Blue.19,01:45.4,01:46.1,"""Yeah."""
5.Pink.15,01:46.0,01:52.4,"""Just so then you could try and like get closer to the next town since they announced it and stuff."""
5.Orange.6,01:53.2,01:54.8,"""Or at least figure out where you are."""
5.Pink.16,01:54.9,01:55.6,"""Yeah."""
5.Blue.20,01:55.0,01:55.5,"""Mhm."""
5.Orange.7,01:55.7,01:56.1,"""Yeah."""
5.Pink.17,01:56.4,02:02.4,"""Cause if you like -- if you crash, like if I crashed on a plane, I wouldn't know what way's like north and west and everything, so."""
5.Orange.8,01:56.5,01:57.3,"""Seven?"""
5.Orange.9,02:02.9,02:04.0,"""So first is compass."""
5.Blue.21,02:04.0,02:04.7,"""Okay."""
5.Blue.22,02:05.6,02:07.9,"""What about the flashlight with batteries?"""
5.Yellow.14,02:06.2,02:06.6,"""Yeah --"""
5.Pink.18,02:07.9,02:10.5,"""I put that -- yeah I put that third."""
5.Blue.23,02:10.6,02:12.5,"""Yeah, like that would be helpful."""
5.Pink.19,02:12.5,02:13.3,"""In the dark."""
5.Blue.24,02:13.3,02:15.5,"""Yeah cause you're in the dark right now anyway."""
5.Yellow.15,02:16.5,02:19.8,"""Um, I think -- I still think that the compass maybe wouldn't be the best thing."""
5.Yellow.16,02:19.8,02:21.7,"""I think probably staying where you are is better."""
5.Yellow.17,02:21.7,02:23.9,"""But we should go by majority probably."""
5.Yellow.18,02:23.9,02:25.9,"""So compass definitely, because."""
5.Blue.25,02:24.1,02:24.7,"""Okay."""
5.Blue.26,02:25.0,02:29.9,"""Yeah like they might be like let's wait till we see light, like wait until the morning."""
5.Pink.20,02:28.3,02:29.2,"""Yeah."""
5.Blue.27,02:32.3,02:34.4,"""But then what would they do first?"""
5.Pink.21,02:36.2,02:39.6,"""Well they crashed at 11:32 am, so."""
5.Blue.28,02:39.6,02:41.3,"""Oh, it's am, oh."""
5.Yellow.19,02:40.0,02:41.3,"""Yeah it's afternoon."""
5.Pink.22,02:41.3,02:42.0,"""Yeah."""
5.Blue.29,02:42.0,02:44.0,"""$"""
5.Blue.30,02:45.0,02:45.9,"""Um."""
5.Yellow.20,02:47.5,02:49.5,"""So the compress kit."""
5.Yellow.21,02:49.5,02:50.7,"""Are we allowed to ask?"""
5.Yellow.22,02:50.7,02:53.6,"""Or, I guess, do you guys know what's in a compress kit?"""
5.Yellow.23,02:53.6,02:54.9,"""I don't know entirely."""
5.Yellow.24,02:54.9,02:57.7,"""I know gauze, um, is not mentioned there."""
5.Blue.31,02:57.4,02:59.1,"""Is it kinda like a first aid kit?"""
5.Blue.32,02:59.3,02:59.8,"""Yeah."""
5.Yellow.25,02:59.7,03:00.4,"""Okay."""
5.Orange.10,03:00.0,03:00.6,"""Okay."""
5.Blue.33,03:01.3,03:04.3,"""That would probably be important cause it's likely that people are --"""
5.Orange.11,03:03.3,03:05.1,"""I had that as the third, so yeah."""
5.Pink.23,03:05.1,03:06.5,"""I had that as the fourth."""
5.Blue.34,03:06.0,03:06.7,"""Mhm."""
5.Blue.35,03:08.1,03:09.5,"""Should it as second?"""
5.Yellow.26,03:08.2,03:11.0,"""And I put that high up there, too, yeah."""
5.Blue.36,03:10.3,03:11.3,"""Second?"""
5.Yellow.27,03:11.1,03:11.9,"""Sure."""
5.Blue.37,03:11.3,03:12.7,"""So they can like --"""
5.Blue.38,03:14.1,03:15.3,"""Get better."""
5.Blue.39,03:16.1,03:18.7,"""There's a bunch that are like totally not important I think."""
5.Orange.12,03:18.3,03:19.2,"""Yeah."""
5.Pink.24,03:18.4,03:19.2,"""Yeah."""
5.Blue.40,03:19.0,03:22.0,"""Like newspaper could be helpful in building a fire."""
5.Orange.13,03:21.9,03:22.5,"""But --"""
5.Yellow.28,03:22.1,03:25.0,"""Yeah, but it would be gone in seconds, so not really."""
5.Blue.41,03:24.2,03:24.9,"""Yeah."""
5.Orange.14,03:25.2,03:26.5,"""Not just that --"""
5.Yellow.29,03:25.6,03:26.7,"""Which would be better?"""
5.Blue.42,03:25.8,03:28.0,"""Well if they -- if they put wood on it."""
5.Pink.25,03:26.0,03:29.1,"""Well it could help like, yeah, if you got wood."""
5.Orange.15,03:27.3,03:28.9,"""But the cigarette lighter."""
5.Orange.16,03:28.9,03:30.6,"""Yeah the cigarette lighter without the fluid."""
5.Blue.43,03:30.4,03:31.3,"""That doesn't --"""
5.Pink.26,03:30.8,03:32.0,"""Pointless."""
5.Blue.44,03:31.3,03:32.2,"""Two ski polls?"""
5.Orange.17,03:31.7,03:33.8,"""Like what is -- those do?"""
5.Blue.45,03:32.2,03:33.3,"""That's pointless."""
5.Blue.46,03:33.3,03:34.3,"""$"""
5.Blue.47,03:34.5,03:35.7,"""Can of shortening."""
5.Orange.18,03:35.3,03:36.8,"""What about the ball of steel wool?"""
5.Orange.19,03:36.8,03:37.7,"""Like what's that?"""
