Participant,Start,End,Sentence
18.Pink.42,03:08.0,03:09.9,"""$"""
18.Blue.24,03:08.4,03:09.8,"""$ uh oh"""
18.Pink.43,03:10.2,03:11.2,"""Um"""
18.Orange.28,03:14.5,03:16.1,"""How about we come back to it later"""
18.Pink.44,03:16.5,03:18.1,"""Okay move on to four then"""
18.Blue.25,03:19.8,03:21.9,"""Thats when I said the thirty foot rope"""
18.Orange.29,03:22.0,03:23.2,"""Thats when I said knife"""
18.Blue.26,03:22.4,03:23.3,"""[unclear]"""
18.Blue.27,03:23.7,03:24.2,"""Oh"""
18.Pink.45,03:24.3,03:26.1,"""Oh my gosh $"""
18.Pink.46,03:26.1,03:28.5,"""Yeah four is knife for me as well"""
18.Pink.47,03:29.8,03:30.9,"""Um"""
18.Pink.48,03:40.2,03:42.1,"""You put the rope you said for four"""
18.Blue.28,03:41.9,03:42.6,"""For four yeah"""
18.Blue.29,03:42.7,03:43.7,"""The thirty feet of"""
18.Pink.49,03:44.8,03:50.3,"""But we can put the knife as three"""
18.Blue.30,03:51.6,03:52.1,"""Okay"""
18.Pink.50,03:53.6,03:58.8,"""Because thats like higher we both have that high up and then"""
18.Orange.30,03:58.3,04:00.9,"""You would need the knife to cut the rope too right"""
18.Pink.51,04:01.0,04:03.2,"""Yeah well yeah you need the knife to cut the rope"""
18.Orange.31,04:02.5,04:06.7,"""And then its a thick forest so youll probably need the knife to [unclear]"""
18.Pink.52,04:05.7,04:08.4,"""Yeah so we can do three for knife"""
18.Pink.53,04:09.6,04:11.5,"""And then four for rope"""
18.Blue.31,04:11.7,04:12.0,"""Yeah"""
18.Pink.54,04:15.4,04:17.6,"""And then five I had flashlight"""
18.Blue.32,04:18.2,04:19.7,"""[unclear] yeah so did I"""
18.Orange.32,04:18.3,04:19.1,"""Same"""
18.Pink.55,04:19.7,04:21.8,"""$ nice"""
18.Blue.33,04:21.1,04:22.5,"""[unclear] $"""
18.Pink.56,04:22.8,04:23.7,"""That was easy"""
18.Pink.57,04:24.2,04:29.8,"""No I just thought like its not like high up in the priorities but like it is pretty """
18.Orange.33,04:29.0,04:32.0,"""Dont really want to wait till its minus forty degrees"""
18.Blue.34,04:32.1,04:32.5,"""Yeah"""
18.Pink.58,04:32.4,04:35.9,"""And yeah you cant see in the dark and everything so"""
18.Orange.34,04:32.7,04:33.4,"""But still"""
18.Pink.59,04:36.5,04:37.7,"""Okay six"""
18.Blue.35,04:38.5,04:42.2,"""I said the loaded caliber pistol yeah"""
18.Orange.35,04:40.5,04:41.1,"""Same"""
18.Orange.36,04:42.4,04:43.0,"""Did you"""
18.Blue.36,04:42.6,04:44.1,"""For like hunting and stuff maybe"""
18.Orange.37,04:43.4,04:44.1,"""Me too"""
18.Pink.60,04:44.6,04:48.4,"""I put the newspaper just for like fire wise"""
18.Pink.61,04:48.4,04:50.0,"""If you need to like start a fire but but yeah"""
18.Orange.38,04:49.4,04:50.5,"""Yeah that makes sense"""
18.Pink.62,04:50.0,04:51.4,"""But but yeah"""
18.Blue.37,04:50.2,04:50.6,"""Yeah"""
18.Pink.63,04:51.4,04:53.5,"""The I agree with the pistol as well"""
18.Blue.38,04:54.1,04:56.7,"""Itll also use the newspaper for like keep warm and stuff too"""
18.Pink.64,04:56.3,04:57.5,"""Yeah true"""
18.Orange.39,04:57.7,04:58.3,"""For what"""
18.Blue.39,04:58.8,05:00.1,"""To like keep warm"""
18.Pink.65,05:00.4,05:00.7,"""Yeah"""
18.Orange.40,05:00.5,05:01.0,"""Yeah"""
18.Blue.40,05:00.7,05:01.3,"""For newspaper"""
18.Pink.66,05:02.6,05:04.6,"""We could do yeah"""
18.Pink.67,05:05.8,05:09.6,"""We could do the pistol for six and then newspaper for seven"""
18.Blue.41,05:09.8,05:10.3,"""Sure"""
18.Pink.68,05:19.6,05:21.2,"""Uh what do you guys have for eight"""
18.Blue.42,05:24.6,05:26.1,"""I said the compress kit"""
18.Pink.69,05:27.0,05:28.2,"""Yeah thats my nine"""
18.Pink.70,05:30.6,05:33.5,"""I said the sectional air map made of plastic"""
18.Pink.71,05:33.5,05:35.1,"""I dont even know what that is but"""
