Participant,Start,End,Sentence
1.Pink.1,00:02.0,00:03.5,"""So what did everyone do as one"""
1.Blue.1,00:04.0,00:05.7,"""I did uh cigarette lighter"""
1.Blue.2,00:06.4,00:07.2,"""For one"""
1.Pink.2,00:07.3,00:09.3,"""Mm okay I did knife"""
1.Green.1,00:09.4,00:09.9,"""Knife"""
1.Blue.3,00:09.8,00:11.2,"""Okay well do knife then"""
1.Blue.4,00:11.2,00:12.0,"""$"""
1.Pink.3,00:11.3,00:12.7,"""$"""
1.Pink.4,00:12.7,00:19.0,"""Well I think it that and and um the cigarette lighter are all pretty important"""
1.Blue.5,00:14.4,00:15.6,"""Yeah yeah makes sense"""
1.Blue.6,00:19.1,00:19.7,"""Mhm"""
1.Pink.5,00:19.7,00:21.6,"""So I would say cigarette lighter is two"""
1.Pink.6,00:21.6,00:24.2,"""I didnt write that down but I kinda made a connection afterwards"""
1.Blue.7,00:23.9,00:25.0,"""$ Yeah okay"""
1.Pink.7,00:24.3,00:25.4,"""$"""
1.Green.2,00:25.5,00:26.9,"""I did two as compass"""
1.Blue.8,00:27.0,00:28.0,"""Compass"""
1.Pink.8,00:27.4,00:29.2,"""Mhm thats what I did initially"""
1.Blue.9,00:29.5,00:30.9,"""I did that as like nine"""
1.Blue.10,00:30.9,00:31.3,"""$"""
1.Green.3,00:31.4,00:34.7,"""Because theres no point in being able to start a fire if you cant get out right"""
1.Pink.9,00:34.6,00:36.1,"""Well theres """
1.Blue.11,00:35.4,00:37.8,"""Yeah but I was just thinking more of """
1.Pink.10,00:37.0,00:38.5,"""Short term"""
1.Blue.12,00:38.3,00:41.1,"""Yeah just kinda like to keep you warm"""
1.Blue.13,00:41.1,00:44.7,"""Or if anyone like sees you you know helicopters like flying over"""
1.Green.4,00:44.4,00:45.5,"""You wont see that"""
1.Blue.14,00:44.9,00:45.9,"""$"""
1.Blue.15,00:46.0,00:47.3,"""Well maybe"""
1.Pink.11,00:47.3,00:48.1,"""Yeah thats what I was thinking"""
1.Pink.12,00:48.1,00:49.5,""" I was like you could start a really big fire"""
1.Pink.13,00:49.5,00:50.4,"""$"""
1.Blue.16,00:50.2,00:51.7,"""Yeah thats all I was thinking about"""
1.Blue.17,00:51.7,00:52.3,"""Um"""
1.Green.5,00:52.5,00:58.0,"""Mm mm coming back from my military training yeah no"""
1.Green.6,00:58.0,00:59.0,"""$"""
1.Pink.14,00:58.8,01:00.0,"""Mhm"""
1.Pink.15,01:01.1,01:02.5,"""Okay so what do we wanna do"""
1.Blue.18,01:05.2,01:09.0,"""Uh we if you both put compass as two then we can do compass"""
1.Green.7,01:08.6,01:09.6,"""Do you want it"""
1.Pink.16,01:09.0,01:11.1,"""Okay no I really dont it doesnt matter"""
1.Green.8,01:09.8,01:10.8,"""Its up to you so"""
1.Pink.17,01:11.2,01:11.8,"""Two"""
1.Green.9,01:11.6,01:12.2,"""Sure"""
1.Pink.18,01:13.3,01:14.5,"""Three"""
1.Green.10,01:15.9,01:17.5,"""I did the uh map"""
1.Green.11,01:18.0,01:19.2,"""Sectional air map"""
1.Blue.19,01:20.2,01:23.6,"""I did the um whiskey"""
1.Blue.20,01:23.6,01:25.2,"""Just cause I was thinking"""
1.Pink.19,01:23.9,01:27.3,"""Yeah the the cigarette lighter and the whiskey and yeah"""
1.Blue.21,01:25.3,01:26.4,"""Yeah"""
1.Green.12,01:26.5,01:27.5,"""Mhm yeah I can see that """
1.Blue.22,01:27.5,01:29.3,"""Yeah thats what I was """
1.Pink.20,01:29.2,01:32.6,"""Okay do you want to do cigarette lighter as three because it was your two"""
1.Green.13,01:31.5,01:32.1,"""Sure"""
1.Blue.23,01:32.5,01:33.1,"""Mhm"""
1.Green.14,01:32.9,01:33.6,"""Sure we can do that"""
1.Pink.21,01:33.0,01:34.6,"""I think that makes sense"""
