Participant,Start,End,Sentence
27.Orange.19,00:52.8,00:53.9,"""Oh it was an air map"""
27.Orange.20,00:53.9,00:54.9,"""I read that wrong"""
27.Blue.6,00:54.9,00:56.0,"""$"""
27.Pink.10,00:55.1,00:56.5,"""What did you think it was"""
27.Orange.21,00:56.0,00:57.4,"""I I just saw map"""
27.Orange.22,00:57.4,00:59.4,"""And thought map compass together"""
27.Pink.11,00:59.0,01:00.4,"""Yeah yeah"""
27.Orange.23,00:59.4,01:00.2,"""Yeah so well just """
27.Orange.24,01:00.2,01:01.5,"""Yeah I didnt read that properly"""
27.Orange.25,01:01.5,01:03.1,"""Okay um"""
27.Pink.12,01:02.3,01:02.9,"""Kay"""
27.Orange.26,01:03.1,01:05.0,"""So sorry what did you have"""
27.Pink.13,01:04.8,01:07.9,"""I had the compress kit so the first aid kid first aid"""
27.Orange.27,01:07.7,01:08.8,"""And you had the knife"""
27.Blue.7,01:08.5,01:11.5,"""Yeah just like in case like something happens then"""
27.Pink.14,01:10.8,01:11.5,"""Yeah"""
27.Orange.28,01:11.3,01:12.3,"""Yeah okay"""
27.Orange.29,01:12.7,01:15.3,"""Um so what would you like me to put"""
27.Orange.30,01:15.3,01:20.1,"""Do we think that first aid is important and would come before the knife"""
27.Pink.15,01:20.3,01:28.0,"""Well I feel like we can find like other weapons on the ground first if we didnt have a knife like a stick or a branch or something"""
27.Blue.8,01:23.9,01:24.4,"""Mhm"""
27.Blue.9,01:27.8,01:28.4,"""Mhm"""
27.Orange.31,01:27.8,01:28.6,"""Okay"""
27.Pink.16,01:28.0,01:33.8,"""And since theres a lot of us like if there was a cougar or something we could just all yell at it $"""
27.Blue.10,01:29.1,01:29.5,"""Yep"""
27.Blue.11,01:31.4,01:32.8,"""$"""
27.Orange.32,01:33.3,01:37.1,"""Okay so we will put the the first aid kit third"""
27.Orange.33,01:37.2,01:37.7,"""Kay"""
27.Orange.34,01:38.2,01:40.0,"""Uh and then next"""
27.Pink.17,01:40.0,01:45.4,"""I had the can of shortening to make I had thought that it would help with fire"""
27.Orange.35,01:44.5,01:45.1,"""Fire"""
27.Blue.12,01:45.2,01:45.7,"""Yeah"""
27.Blue.13,01:45.7,01:48.1,"""I had chocolate bar just like something with food or something"""
27.Orange.36,01:47.8,01:48.8,"""I had chocolate bar too"""
27.Blue.14,01:48.6,01:49.1,"""Yeah"""
27.Orange.37,01:48.8,01:51.8,"""I was thinking we uh I was thinking food next"""
27.Blue.15,01:51.3,01:51.8,"""Yeah"""
27.Pink.18,01:51.8,01:54.9,"""Oh I put that like down the list $"""
27.Orange.38,01:51.8,01:52.7,"""Um"""
27.Blue.16,01:53.8,01:56.5,"""I mean shortening could be like you know"""
27.Orange.39,01:56.6,01:59.3,"""I was thinking shortening shortening you said making for fire"""
27.Pink.19,01:59.4,02:01.0,"""I yeah because """
27.Pink.20,02:01.0,02:02.1,"""Oh my thing fell down"""
27.Pink.21,02:02.1,02:06.3,"""I was thinking it like might have helped with the fire since it was like fat or something"""
27.Orange.40,02:06.2,02:06.9,"""Yeah"""
27.Pink.22,02:06.9,02:11.6,"""So like and there might be some stuff around"""
27.Orange.41,02:11.6,02:12.4,"""Yeah"""
27.Pink.23,02:11.6,02:15.2,"""And like we can people can survive for a while without food"""
27.Orange.42,02:15.2,02:15.8,"""Yes"""
27.Orange.43,02:16.4,02:19.1,"""Um I was I put the chocolate bar next"""
27.Orange.44,02:19.1,02:24.1,"""Because um Im assuming the plan is to try and get to that city that we saw"""
27.Pink.24,02:23.1,02:24.0,"""Yeah"""
27.Orange.45,02:24.4,02:28.3,"""And I know that we burn a lot of energy especially if its cold"""
27.Pink.25,02:27.6,02:28.4,"""Right"""
27.Orange.46,02:28.3,02:31.4,"""Cause your body needs more energy if youre trying to stay warm"""
27.Pink.26,02:29.3,02:30.1,"""Right"""
27.Orange.47,02:31.7,02:35.0,"""Um did you are you okay with putting that four"""
27.Pink.27,02:34.7,02:36.1,"""Yeah Im fine with that"""
27.Orange.48,02:35.5,02:36.3,"""Well put that fourth"""
27.Orange.49,02:36.3,02:36.7,"""Okay"""
27.Orange.50,02:37.1,02:39.1,"""Um four"""
27.Orange.51,02:39.3,02:40.3,"""Okay"""
27.Orange.52,02:40.3,02:42.9,"""And then after that what did you think"""
27.Pink.28,02:43.1,02:45.0,"""I put down flashlight with batteries"""
27.Pink.29,02:45.0,02:48.5,"""Like for when it gets dark if we needed to like do anything"""
27.Blue.17,02:48.3,02:50.3,"""That works too yep"""
27.Orange.53,02:48.4,02:49.9,"""I had that fifth too"""
27.Orange.54,02:49.9,02:50.9,"""Yeah okay"""
27.Orange.55,02:51.2,02:59.5,"""Um okay after that um after that I started thinking more of like knife rope that kinda stuff"""
27.Blue.18,02:58.8,02:59.7,"""Yeah"""
27.Pink.30,02:59.7,03:03.1,"""I went with newspaper again with the fire $"""
27.Orange.56,03:01.7,03:03.6,"""Yeah"""
27.Orange.57,03:03.7,03:05.8,"""And sorry what did you say"""
27.Blue.19,03:05.8,03:07.2,"""I we can do newspaper first"""
27.Blue.20,03:07.2,03:11.8,"""And then I did like all of like the knife and the rope like together after"""
27.Orange.58,03:07.8,03:08.5,"""Yeah"""
27.Orange.59,03:11.6,03:13.0,"""Together after"""
27.Pink.31,03:12.1,03:13.8,"""Yeah I did knife after newspaper"""
27.Blue.21,03:13.5,03:14.0,"""Okay"""
27.Orange.60,03:13.7,03:14.4,"""Okay"""
27.Orange.61,03:14.5,03:16.4,"""Uh so yeah lets think about fire now"""
27.Orange.62,03:16.4,03:18.0,"""So newspaper"""
27.Pink.32,03:18.2,03:20.0,"""My thing keeps falling"""
27.Pink.33,03:20.9,03:22.5,"""It doesnt like my sweater"""
27.Orange.63,03:22.1,03:23.2,"""Okay"""
27.Orange.64,03:23.3,03:28.5,"""Okay so uh if were going to go with the fire theme what else do we think would be important for that"""
27.Orange.65,03:28.5,03:31.3,"""So we have kindling and now we need something to start it"""
27.Orange.66,03:31.3,03:36.0,"""So were thinking I dont know what do we think is more flammable whiskey or shortening"""
27.Pink.34,03:37.3,03:38.0,"""I dont know"""
27.Orange.67,03:37.9,03:39.4,"""I dont know anything either"""
27.Blue.22,03:39.6,03:40.4,"""I dont know either"""
27.Orange.68,03:40.4,03:41.7,"""No um"""
27.Pink.35,03:41.9,03:43.9,"""I feel like the liquid might freeze"""
27.Orange.69,03:44.2,03:46.0,"""Uh alcohol wouldnt freeze"""
27.Pink.36,03:45.6,03:46.1,"""It wouldnt"""
27.Pink.37,03:46.1,03:48.0,"""Okay I dont know enough about alcohol"""
27.Blue.23,03:47.5,03:48.4,"""$"""
27.Orange.70,03:48.4,03:49.6,"""Um"""
27.Pink.38,03:53.3,03:55.8,"""How much more do we have"""
27.Blue.24,03:54.3,04:00.0,"""I feel like the whiskey could be more useful for other things too maybe"""
27.Orange.71,03:58.8,04:01.3,"""Thats disinfecting"""
27.Pink.39,03:59.1,04:01.1,"""Oh like for injuries as well"""
27.Blue.25,04:00.1,04:01.1,"""Yeah"""
27.Pink.40,04:01.1,04:03.9,"""Yeah lets put put that one next"""
27.Orange.72,04:01.3,04:01.8,"""Okay"""
27.Orange.73,04:02.0,04:03.4,"""Lets do that"""
27.Orange.74,04:03.6,04:07.7,"""Kay so thats gonna be our number seven then is the whiskey"""
27.Orange.75,04:08.5,04:11.8,"""Um okay so we have kindling whiskey"""
27.Orange.76,04:11.8,04:13.9,"""Um now something to spark the fire"""
27.Orange.77,04:13.9,04:17.9,"""Which I assumed was either um the steel wool"""
27.Orange.78,04:17.9,04:22.2,"""Uh I dont know if the cigarette lighter would still spark"""
27.Pink.41,04:18.5,04:19.5,"""Oh yeah I dont """
27.Pink.42,04:20.3,04:21.4,"""I dont know"""
27.Pink.43,04:21.4,04:23.6,"""Because it doesnt have the fluid in there anymore"""
27.Orange.79,04:23.4,04:26.5,"""No so I dont actually know anything about that"""
27.Pink.44,04:23.7,04:24.3,"""No"""
27.Blue.26,04:25.3,04:26.3,"""Yeah"""
27.Pink.45,04:25.6,04:26.7,"""Me neither"""
27.Orange.80,04:27.0,04:29.4,"""And I dont think its like a movie where you can stand back and """
27.Orange.81,04:29.4,04:33.0,"""I mean I know pistol has a spark but"""
27.Blue.27,04:31.9,04:33.0,"""Yeah"""
27.Orange.82,04:33.6,04:34.8,"""Um"""
27.Orange.83,04:36.9,04:39.4,"""Hopefully someone else on the plane would know"""
27.Blue.28,04:38.7,04:39.9,"""$"""
27.Pink.46,04:39.0,04:43.7,"""$ Hopefully someone like knows how to survive in the wilderness"""
27.Orange.84,04:40.9,04:41.6,"""Yes"""
27.Blue.29,04:42.5,04:43.3,"""Yes"""
27.Orange.85,04:42.5,04:43.3,"""Yes"""
27.Orange.86,04:43.7,04:49.4,"""I mean cause if you didnt if you didnt use any of those you could someone could just like rub two sticks together"""
27.Pink.47,04:48.6,04:49.7,"""Yeah thats what I was thinking"""
27.Pink.48,04:49.7,04:51.3,"""Two sticks there you go"""
27.Orange.87,04:52.0,04:57.0,"""Um okay so maybe well just pick the one that would maybe make the most spark"""
27.Orange.88,04:57.6,04:58.4,"""Um"""
27.Pink.49,04:59.5,05:00.2,"""Yeah"""
27.Pink.50,05:01.6,05:02.8,"""I dont know"""
27.Pink.51,05:03.2,05:04.5,"""Should we just go with the pistol"""
27.Pink.52,05:04.5,05:06.3,"""Cause like we could just shoot it at """
27.Pink.53,05:06.3,05:07.6,"""I dont know the """
27.Pink.54,05:07.6,05:10.0,"""Or I have no idea okay"""
27.Orange.89,05:10.1,05:13.3,"""I was thinking I was thinking more of the lighter"""
27.Pink.55,05:13.5,05:14.1,"""Right"""
27.Orange.90,05:13.5,05:18.2,"""Cause Im I dont know this but I think it will still spark even if theres no fluid"""
27.Pink.56,05:17.4,05:18.7,"""Oh"""
27.Orange.91,05:18.2,05:19.8,"""And then we have the fluid"""
27.Pink.57,05:19.8,05:20.7,"""Okay"""
27.Orange.92,05:20.7,05:21.7,"""But I dont know for sure"""
27.Orange.93,05:21.7,05:23.2,"""We would """
27.Pink.58,05:22.0,05:22.6,"""Right"""
27.Pink.59,05:22.6,05:30.8,"""What if we like put the whiskey like in w yeah whiskey into the into the container and then try sparking it $"""
27.Blue.30,05:26.0,05:27.2,"""Into the lighter"""
27.Orange.94,05:26.9,05:27.8,"""Maybe"""
27.Blue.31,05:27.4,05:29.8,"""$"""
27.Orange.95,05:27.8,05:29.9,"""[unclear]"""
27.Orange.96,05:30.2,05:34.1,"""Kay so well say so well say seven well say cigarette lighter is eight then"""
27.Orange.97,05:34.1,05:36.2,"""Well just say were gonna try that first and then"""
27.Pink.60,05:36.2,05:36.8,"""Great"""
27.Pink.61,05:36.8,05:38.6,"""Should we put the knife in now"""
27.Orange.98,05:38.6,05:39.7,"""Yeah lets put the knife in"""
27.Orange.99,05:39.7,05:44.3,"""So I was so knife rope and two ski poles would be after we kinda have fire right"""
27.Blue.32,05:44.3,05:44.9,"""Yeah"""
27.Orange.100,05:44.3,05:45.9,"""So um"""
27.Orange.101,05:47.0,05:50.4,"""Out of those one I feel like rope would be pretty important"""
27.Orange.102,05:50.4,05:55.4,"""Just cause of the like the conditions we are in like the lakes and the rivers and stuff"""
27.Pink.62,05:53.6,05:54.0,"""Right"""
27.Pink.63,05:54.0,05:58.1,"""And if we were able to like I dont know build a shelter or somehow"""
27.Orange.103,05:55.9,05:56.4,"""Yep"""
27.Orange.104,05:58.1,05:59.6,"""Rope would be pretty important"""
27.Pink.64,05:59.0,05:59.7,"""Yeah"""
27.Orange.105,05:59.8,06:04.7,"""So I would personally say rope knife and then kinda ski poles"""
27.Pink.65,06:04.3,06:04.9,"""Yeah"""
27.Blue.33,06:04.7,06:05.0,"""Yeah"""
27.Orange.106,06:05.1,06:06.2,"""Does that sound good"""
27.Orange.107,06:07.0,06:10.4,"""So that would be nine ten and then eleven"""
27.Orange.108,06:11.1,06:16.2,"""Um I guess okay so if its an air map I feel like we can say that would be the less least fifteen maybe"""
27.Blue.34,06:15.0,06:15.6,"""Yeah"""
27.Blue.35,06:15.7,06:16.7,"""Yeah thats what I """
27.Pink.66,06:15.9,06:16.7,"""Mhm"""
27.Orange.109,06:16.7,06:17.4,"""Okay"""
27.Orange.110,06:18.6,06:20.6,"""Um and then"""
27.Orange.111,06:21.1,06:26.1,"""So of so we have steel wool the pistol and the can of shortening left"""
27.Pink.67,06:26.4,06:26.9,"""Hm"""
27.Orange.112,06:27.0,06:28.1,"""Um"""
27.Orange.113,06:29.0,06:33.3,"""So maybe do we think the pistol would be next after"""
27.Orange.114,06:33.3,06:36.0,"""I mean I dont know if """
27.Pink.68,06:36.0,06:38.0,"""Wait does everybody have a pistol now"""
27.Orange.115,06:38.1,06:45.6,"""I think in the scenario every uh what does it say you may assume that the amount of each item is the same as the number in your group so"""
27.Pink.69,06:45.3,06:49.4,"""So we can use like try and use one for a fire and the other people can it for defence or something"""
27.Blue.36,06:48.5,06:49.3,"""Yeah"""
27.Orange.116,06:49.2,06:51.7,"""Or food or something I dont know if you can hit a rabbit"""
27.Pink.70,06:51.7,06:55.1,"""If someone has good shot with the pistol $"""
27.Orange.117,06:54.8,06:55.4,"""Yeah"""
27.Orange.118,06:55.4,06:58.6,"""Okay so five left so that would be twelve then"""
27.Pink.71,06:57.9,06:58.6,"""Mhm"""
27.Orange.119,06:59.2,07:02.7,"""Uh and then so can of shortening and ball of steel wool"""
27.Pink.72,07:02.7,07:05.0,"""What would you use a ball of steel wool for"""
27.Orange.120,07:04.5,07:09.1,"""The only thing I can think of was like I dont know if you could spark that"""
27.Blue.37,07:08.1,07:08.9,"""Yeah thats what I was thinking"""
27.Blue.38,07:08.9,07:11.8,"""I would use it for like I would say using it for a fire or something"""
27.Orange.121,07:09.9,07:10.8,"""Yeah"""
27.Orange.122,07:11.3,07:11.8,"""Okay"""
27.Pink.73,07:11.4,07:14.6,"""Can you always also use shortening for a fire"""
27.Orange.123,07:14.7,07:15.4,"""Maybe"""
27.Orange.124,07:15.4,07:18.3,"""But we decided to use the whiskey instead of that"""
27.Pink.74,07:17.0,07:17.8,"""Right"""
27.Pink.75,07:18.2,07:21.5,"""So should we just do like ball of st steel and then shortening"""
27.Orange.125,07:18.3,07:19.7,"""We thats what I """
27.Orange.126,07:21.0,07:22.8,"""Yeah I would say that"""
27.Orange.127,07:22.9,07:27.5,"""Um so twelve so that would be thirteen and then fourteen"""
27.Pink.76,07:27.2,07:28.5,"""Wait so fifteen"""
27.Orange.128,07:28.3,07:30.8,"""Yep uh fifteen I said was the air map right so"""
27.Pink.77,07:30.2,07:30.8,"""Right"""
27.Orange.129,07:30.8,07:33.9,"""Did you want me to read them out again see if we want to change anything"""
27.Pink.78,07:33.9,07:35.5,"""I think were good"""
27.Orange.130,07:34.8,07:35.8,"""Youre good"""
27.Orange.131,07:35.8,07:37.8,"""Kay alright"""
