Participant,Start,End,Sentence
27.Pink.1,00:01.1,00:04.9,"""So what did you guys put down for the first one"""
27.Orange.1,00:05.9,00:07.1,"""I said compass"""
27.Pink.2,00:06.7,00:07.5,"""Me too"""
27.Blue.1,00:07.5,00:07.9,"""Yeah"""
27.Orange.2,00:07.9,00:08.3,"""Yeah"""
27.Orange.3,00:08.4,00:09.7,"""Okay so well keep that as one"""
27.Pink.3,00:08.5,00:09.0,"""Kay"""
27.Pink.4,00:09.2,00:09.7,"""Yeah"""
27.Orange.4,00:09.7,00:10.1,"""Kay"""
27.Orange.5,00:10.3,00:13.3,"""Uh what did you say was the least important"""
27.Pink.5,00:13.9,00:16.6,"""Um the cigarette lighter without the fluid"""
27.Orange.6,00:16.6,00:17.0,"""Kay"""
27.Orange.7,00:17.0,00:17.7,"""And you"""
27.Blue.2,00:17.8,00:19.7,"""I had the map made of plastic"""
27.Orange.8,00:19.8,00:22.7,"""Okay so we all had something kinda different for that"""
27.Orange.9,00:23.2,00:23.8,"""Um"""
27.Orange.10,00:25.0,00:26.4,"""Okay maybe well keep going the other way"""
27.Orange.11,00:26.4,00:28.0,"""Kay what was number two"""
27.Pink.6,00:27.8,00:31.7,"""I put down extra shirt and pants for each survivor since its like winter time"""
27.Orange.12,00:31.5,00:32.4,"""I had the same"""
27.Blue.3,00:32.4,00:33.5,"""Yeah that works too"""
27.Pink.7,00:33.4,00:34.7,"""Oh great $"""
27.Blue.4,00:33.5,00:34.4,"""I had pistol"""
27.Orange.13,00:34.1,00:35.4,"""Perfect okay"""
27.Orange.14,00:35.9,00:36.9,"""Uh third"""
27.Pink.8,00:37.9,00:44.1,"""Uh I had the compress kit c which cause its first aid and since we just crash landed"""
27.Orange.15,00:41.5,00:42.9,"""First aid"""
27.Pink.9,00:44.8,00:46.8,"""I guess we need that $"""
27.Blue.5,00:47.3,00:48.5,"""Uh a knife"""
27.Orange.16,00:48.5,00:49.1,"""You had the knife"""
27.Orange.17,00:49.1,00:50.6,"""Okay so we all have something different for that"""
27.Orange.18,00:50.6,00:52.1,"""I said the air map"""
