Participant,Start,End,Sentence
9.Green.1,00:02.9,00:05.1,"""Okay so what did you guys rate as number one"""
9.Blue.1,00:05.9,00:06.6,"""Compass"""
9.Pink.1,00:06.0,00:07.5,"""I put compass"""
9.Green.2,00:07.5,00:08.2,"""Yep same here"""
9.Blue.2,00:07.7,00:08.1,"""Yep"""
9.Pink.2,00:08.2,00:09.6,"""Oh I was going to put compass"""
9.Pink.3,00:09.6,00:10.9,"""I put extra shirt and pants"""
9.Green.3,00:11.3,00:12.4,"""Yeah that was my number two"""
9.Blue.3,00:11.4,00:11.8,"""Yeah"""
9.Pink.4,00:12.3,00:12.9,"""Yeah"""
9.Blue.4,00:12.4,00:13.3,"""Yeah me too"""
9.Green.4,00:13.3,00:13.7,"""Yeah"""
9.Pink.5,00:14.1,00:14.4,"""My """
9.Green.5,00:14.2,00:15.2,"""So number three"""
9.Blue.5,00:15.8,00:16.4,"""Knife"""
9.Green.6,00:16.8,00:18.0,"""I put compress kit"""
9.Pink.6,00:18.5,00:20.3,"""The compress kit was my second"""
9.Green.7,00:20.6,00:20.9,"""Yep"""
9.Pink.7,00:21.0,00:22.5,"""My third one was compass"""
9.Green.8,00:23.8,00:24.6,"""Uh fourth"""
9.Blue.6,00:25.8,00:27.5,"""Flashlight with batteries"""
9.Pink.8,00:27.2,00:28.3,"""Yeah thats right"""
9.Pink.9,00:28.4,00:29.0,"""$"""
9.Green.9,00:28.8,00:31.2,"""I actually put can of shortening cause I thought it was food"""
9.Pink.10,00:31.5,00:33.5,"""Uh well I think it can be eaten"""
9.Blue.7,00:33.5,00:34.0,"""Yuck"""
9.Pink.11,00:34.2,00:35.8,"""But it just wouldnt taste very good"""
9.Blue.8,00:35.8,00:36.4,"""No"""
9.Pink.12,00:36.5,00:38.2,"""Um uh fifth"""
9.Blue.9,00:38.8,00:40.5,"""Family sized chocolate bar"""
9.Green.10,00:40.1,00:41.1,"""Same here"""
9.Pink.13,00:41.1,00:44.5,"""I put a cigarette lighter without the fluid cause then maybe you can get the sparks going"""
9.Pink.14,00:44.5,00:46.5,"""And then number six on the newspaper"""
9.Pink.15,00:46.5,00:48.1,"""You get the sparks going on the newspaper"""
9.Green.11,00:47.8,00:49.8,"""I wasnt sure if you could actually make a spark off that"""
9.Blue.10,00:48.7,00:49.3,"""Oh"""
9.Green.12,00:49.8,00:50.3,"""So"""
9.Pink.16,00:49.8,00:50.8,"""With the flint"""
9.Green.13,00:51.1,00:51.4,"""Yep"""
9.Green.14,00:51.5,00:53.8,"""Oh cause it does have an internal flint"""
9.Pink.17,00:53.7,00:54.1,"""Mhm"""
9.Green.15,00:54.3,00:56.0,"""Um six was it"""
9.Pink.18,00:56.5,00:58.9,"""Uh yeah I said newspaper for six"""
9.Green.16,00:58.9,00:59.4,"""Oh yeah"""
9.Green.17,00:59.4,01:00.3,"""Whiskey"""
9.Blue.11,00:59.5,01:01.0,"""Mines can of shortening"""
9.Green.18,01:02.6,01:04.8,"""Cause you can use it to disinfect"""
9.Green.19,01:04.8,01:05.9,"""And you can drink it"""
9.Green.20,01:06.6,01:07.1,"""Seven"""
9.Pink.19,01:06.6,01:07.8,"""Oh nice thats a good idea"""
9.Green.21,01:07.8,01:08.3,"""Yeah"""
9.Green.22,01:08.6,01:10.1,"""Seven was knife for me"""
9.Pink.20,01:09.5,01:10.8,"""I p I put knife too"""
9.Pink.21,01:11.9,01:12.7,"""Uh"""
9.Blue.12,01:12.7,01:14.1,"""Mine was the whiskey"""
9.Green.23,01:14.7,01:16.0,"""Uh eight"""
9.Pink.22,01:15.8,01:17.1,"""I I chocolate bar"""
9.Green.24,01:17.1,01:18.7,"""Flashlight with batteries"""
9.Pink.23,01:18.7,01:19.2,"""Mhm"""
9.Blue.13,01:19.5,01:20.2,"""I lost mine"""
9.Blue.14,01:20.2,01:20.7,"""The rope"""
9.Green.25,01:21.9,01:22.8,"""Um"""
9.Green.26,01:22.8,01:24.8,"""Nine for me was rope"""
9.Pink.24,01:25.2,01:26.6,"""Oh I have the the pistol"""
9.Blue.15,01:26.6,01:27.4,"""Me too"""
